Territory,County,Subcounty,Brand,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS
CENTRAL,KIAMBU,RUIRU,ONJA,118.25,0.203448276,0.023268398,48.25271697,0.203791469,9.833492084
CENTRAL,KIAMBU,THIKA TOWN,ONJA,572.75,0.987068966,0.112701692,48.25271697,0.987074537,47.62902825
CENTRAL,KIAMBU,WESTLANDS,ONJA,0.75,0.000862069,0.00014758,48.25271697,0.001292546,0.062368872
CENTRAL,KIRINYAGA,GACHOKA,ONJA,8.5,0.014224138,0.00167257,48.25271697,0.014648858,0.706847211
CENTRAL,KIRINYAGA,GICHUGU,ONJA,97,0.166810345,0.019086974,48.25271697,0.167169324,8.066374056
CENTRAL,KIRINYAGA,KIRINYAGA CENTRAL,ONJA,89.75,0.154310345,0.01766037,48.25271697,0.154674709,7.463474964
CENTRAL,KIRINYAGA,MWEA,ONJA,178.75,0.307758621,0.03517316,48.25271697,0.308056872,14.86458106
CENTRAL,KIRINYAGA,NDIA,ONJA,255.75,0.440517241,0.050324675,48.25271697,0.440758294,21.2677852
CENTRAL,MURANG'A,GATANGA,ONJA,44.75,0.076724138,0.008805588,48.25271697,0.07712193,3.72134267
CENTRAL,MURANG'A,KANDARA,ONJA,294.5,0.507327586,0.057949626,48.25271697,0.507539854,24.4901769
CENTRAL,MURANG'A,KANGEMA,ONJA,85.5,0.146982759,0.016824085,48.25271697,0.14735028,7.110051359
CENTRAL,MURANG'A,KIGUMO,ONJA,257.5,0.443534483,0.050669028,48.25271697,0.443774235,21.41331257
CENTRAL,MURANG'A,KIHARU,ONJA,267.75,0.461206897,0.05268595,48.25271697,0.461439035,22.26568715
CENTRAL,MURANG'A,MARAGWA,ONJA,270.25,0.465517241,0.053177883,48.25271697,0.465747523,22.47358339
CENTRAL,MURANG'A,MATHIOYA,ONJA,124.75,0.214655172,0.024547422,48.25271697,0.214993537,10.3740223
CENTRAL,NYANDARUA,KINANGOP,ONJA,88,0.151293103,0.017316017,48.25271697,0.151658768,7.317947597
CENTRAL,NYANDARUA,KIPIPIRI,ONJA,93,0.159913793,0.018299882,48.25271697,0.160275743,7.733740074
CENTRAL,NYANDARUA,NDARAGWA,ONJA,30.25,0.051724138,0.005952381,48.25271697,0.052132701,2.515544487
CENTRAL,NYANDARUA,OL JOROK,ONJA,41,0.070258621,0.00806769,48.25271697,0.070659199,3.409498312
CENTRAL,NYANDARUA,OL KALOU,ONJA,19,0.032327586,0.003738686,48.25271697,0.032744507,1.580011413
CENTRAL,NYERI,KIENI,ONJA,185.25,0.318965517,0.036452184,48.25271697,0.31925894,15.40511128
CENTRAL,NYERI,MATHIRA,ONJA,149,0.256465517,0.029319166,48.25271697,0.256785868,12.39061582
CENTRAL,NYERI,MUKURWENI,ONJA,52.75,0.090517241,0.010379772,48.25271697,0.090909091,4.386610634
CENTRAL,NYERI,NDIA,ONJA,4.5,0.007327586,0.000885478,48.25271697,0.007755278,0.374213229
CENTRAL,NYERI,NYERI TOWN,ONJA,319,0.549568966,0.062770563,48.25271697,0.549763033,26.52756004
CENTRAL,NYERI,OTHAYA,ONJA,263,0.453017241,0.051751279,48.25271697,0.453252908,21.8706843
CENTRAL,NYERI,TETU,ONJA,13.25,0.022413793,0.002607241,48.25271697,0.022834985,1.101850064
CENTRAL,KIAMBU,GATUNDU NORTH,POPCO,662.888,0.078168372,0.015127035,44.00430178,0.085360197,3.756215877
CENTRAL,KIAMBU,GITHUNGURI,POPCO,69.5,0.001156883,0.001585983,44.00430178,0.008949526,0.393817664
CENTRAL,KIAMBU,JUJA,POPCO,951.518,0.115627549,0.021713542,44.00430178,0.12252713,5.391720802
CENTRAL,KIAMBU,KABETE,POPCO,819.698,0.098519595,0.018705423,44.00430178,0.105552647,4.644770523
CENTRAL,KIAMBU,KIAMBU,POPCO,680.698,0.080479801,0.015533458,44.00430178,0.087653594,3.857135195
CENTRAL,KIAMBU,LARI,POPCO,60.586,0,0.001382566,44.00430178,0.007801669,0.343307007
CENTRAL,KIAMBU,RUIRU,POPCO,498.938,0.0568905,0.011385713,44.00430178,0.064248329,2.827202842
CENTRAL,KIAMBU,THIKA TOWN,POPCO,577.264,0.067055859,0.013173104,44.00430178,0.074334381,3.271032516
CENTRAL,KIRINYAGA,GACHOKA,POPCO,659.336,0.077707384,0.015045979,44.00430178,0.084902806,3.736088678
CENTRAL,KIRINYAGA,GICHUGU,POPCO,1563.573,0.195061691,0.035680573,44.00430178,0.201341553,8.859894474
CENTRAL,KIRINYAGA,KIRINYAGA CENTRAL,POPCO,292.252,0.030066236,0.00666916,44.00430178,0.037633338,1.656028775
CENTRAL,KIRINYAGA,MWEA,POPCO,3922.006,0.501145462,0.089499769,44.00430178,0.50503736,22.2238164
CENTRAL,KIRINYAGA,NDIA,POPCO,1040.634667,0.127193349,0.023747175,44.00430178,0.134002698,5.896695154
CENTRAL,MURANG'A,GATANGA,POPCO,190.65,0.016880055,0.004350613,44.00430178,0.024550032,1.080307016
CENTRAL,MURANG'A,KANDARA,POPCO,7765.774,1,0.177214154,44.00430178,1,44.00430178
